#MenusAndUI

sytx901	&New Game
haev013	Ο Domino γύρισε από 'κει με μια καλόγρια.
hama014	Hijole - εγώ έφερα έναν μικροσκοπικό ανθρωπάκο με κακή διάθεση και χωρίς προμήθεια.
haev015	Ναι αλλά τουλάχιστον εσύ δε δουλεύεις γι'αυτόν.
hama017	Ξέρεις, ο Copal δεν είναι στ'αλήθεια στο γραφείο του.
haev018	Γλυκέ μου, ξέρω τι προσπαθείς να κάνεις.
hama019	Ε;
haev020	Προσπαθείς να μ'απομακρύνεις απ'το γραφείο μου, για να συνδέσεις τους συνδετήρες μεταξύ τους πάλι.
haev021	Ωρίμασε πια, καλέ μου.
hama022	’λλη μια μόνο ερώτηση για τη δουλειά μου...
haev023	Μμμ-χμμμ.
hama024	Ποιά "δηλητηρίαση";
haev025	Ναι, την δηλητηρίαση με κωδικό αριθμό 3 με gazpacho όπου όλοι βρίσκονται εκτός από σένα!
haev026	Γιατί στέλνω μηνύματα αν κανείς δεν τα διαβάζει;
hama027	Πού είπαμε ότι είναι η "δηλητηρίαση";
haev028	Απλά ρώτα τον οδηγό σου επιτέλους! Αυτός θα ξέρει.
haev029	Αυτός θα ξέρει.
hama030	Ξέχασα... υποτίθεται ότι θα έπρεπε να είμαι κάπου τώρα;
hama031	Δε μπορώ να βρω τον οδηγό μου.
haev032	Manny, ξέρεις τι πρέπει να κάνεις.
haev033	Σταμάτα να κάνεις το χαζό μόνο και μόνο για να φλερτάρεις μαζί μου.
haev034	Manny, πρέπει να σου εξηγήσω πάλι τη δουλειά σου;
hama035	Κανένα μήνυμα για μένα;
haev036	Εκτός απ'αυτό για την "δηλητηρίαση";
hama037	Ναι.
haev038	Έχω ακόμα μόνο ένα μήνυμα για σένα, Manny...
haev039	Δεν είμαι η γραμματέας σου!
haev040	Δεν παίρνω τα μηνύματα σου!
haev041	Γι'αυτό βάλτο καλά στο κρανίο σου, και σταμάτα να προωθείς τα τηλεφωνήματα σου σε μένα!
hama042	Εντάξει, μα αυτό μου ακούστηκε για ΤΕΣΣΕΡΑ μηνύματα.
hama043	Στην καρδιά μου, πάντως, θα είσαι πάντα η γραμματέας μου.
haev044	Manny, για τι πράγμα μιλάς;
haev045	Δεν ήμουν ΠΟΤΕ η γραμματέας σου, ακόμα και όταν ήσουν στην κορυφή.
haev046	Έχω μόνο ένα αφεντικό, το ίδιο με σένα--τον Don Copal.
hama047	Έλα τώρα. Το ξέρω ότι δουλεύεις και για κάποιον άλλο εκτός από τον Don.
haev048	Τ--
haev049	Τ...Τι εννοείς;
hama050	Ξέρω ότι παίρνεις και μηνύματα για τον Hurley μερικές φορές.
haev051	Ουφ, Manny. Δίνε του, εντάξει;
hama052	Απασχολημένη όπως πάντα, απ'ότι βλέπω.
haev053	Θα είχα πιο πολλή δουλειά να κάνω, αν είχες πιο πολλούς πελάτες.
hama054	’ουτς!
hama055	Πού είναι όλοι;
haev056	Ω, Manny, ξέχασες τι μέρα είναι σήμερα
hama057	Ωχ όχι. Ήρθα πάλι Σάββατο για δουλειά;
haev058	Είναι η Μέρα των Νεκρών!
haev059	Όλοι πήγαν στη Γη των Ζωντανών, να επισκεφτούν τις οικογένειες τους, όπως θα'πρεπε να κάνουμε και εμείς.
hama060	Εσύ γιατί δεν επισκέπτεσαι την οικογένεια σου;
haev061	Ε, αφού είναι εδώ το αφεντικό, πρέπει να είμαι και εγώ εδώ.
haev062	Εσύ, Cal;
hama063	Δεν υπάρχει κανείς που να θέλω να δω.
haev064	...και δε θέλεις μόνο του εδώ τον Domino, να μαζεύει όλα τα στοιχεία.
hama065	Κι αυτό.
hama066	Ο Domino είναι εδώ;
haev067	Είναι στην "δηλητηρίαση" τώρα, και σου κλέβει την προμήθεια.
hama068	Λοιπόν... θα πας στο Χριστουγεννιάτικο πάρτυ;
haev069	Μετά το περσινό όπου έγινες θέαμα;
haev070	Δεν θα το 'χανα για τίποτα στον κόσμο!
hama071	Κανένα καλό κουτσομπολιό;
haev072	Λοιπόν, άκουσα ότι ο Domino πήρε αύξηση.
hama073	Por favor. Πες μου και κανένα καλό νέο, εντάξει;
haev074	Σ'αγαπώ ακόμα.
hama075	Εσένα μόνο χρειάζομαι, Belleza.
hama076	Ναι.
haev077	Λοιπόν, ο Manuel Calavera που ξέρω εγώ μαζεύει ανθρώπους από τη Γη των Ζωντανών...
hama078	Νεκρούς ανθρώπους.
haev079	Κατά προτίμηση.
haev080	Τους φέρνει εδώ και προσπαθεί θαραλλέα να τους πουλήσει το καλύτερο ταξιδιωτικό πακέτο για το όποιο είναι άξιοι.
haev081	Αν πουλήσει αρκετά ποιοτικά πακέτα, ο ήρωας μας θα είναι ελεύθερος να φύγει από τη Χώρα των Νεκρών.
haev082	Μέχρι τότε, αυτός και εγώ έχουμε κολλήσει εδώ...
haev083	...να κάνουμε την ίδια συζήτηση...
haev084	...ξανά και ξανά για μια αιωνιότητα.
hama085	Όχι, αλλά θα'θελα να ακούσω τη δική σου περιγραφή, έτσι για την πλάκα.
hama086	Όχι, απλά θέλω να μάθω που είναι ο οδηγός μου.
haev087	Θέλεις να τον φωνάξω από το μικρόφωνο;
hama088	Ναι.
haev089	Τότε κάνε τον Don να σταματήσει να είναι τόσο τσιγκούνης και να εγκαταστήσει ηχεία.
hama090	Όχι.
haev091	Ωραία, γιατί δεν έχουμε ηχεία.
haev092	Θα πρέπει απλά να περιφέρεσαι στο γκαράζ μέχρι να βρεις κάποιον δαιμόνιο που να έχει άδεια οδηγού.
hama093	Λοιπόν, αρκετά για μένα. Εσένα πώς είναι η δουλειά σου;
haev094	Σαν να προσέχω παιδιά, μόνο που δεν βλέπω και τηλεόραση.
hama095	Γιατί πρέπει να χρησιμοποιήσω δαιμόνιο για οδηγό;
haev096	Μόνο τα δαιμόνια μπορούν να χειριστούν τ'αυτοκίνητα.
haev097	Αν η εταιρία άφηνε εσάς να οδηγήσετε, θα είχατε φύγει όλοι μέσα σε 10 λεπτά.
hama098	Σωστό αυτό.
hama099	Και αν φεύγαμε από την πόλη απόψε;
hama100	Εσύ και εγώ, μωρό μου!
haev101	Ευχαριστώ για την προσφορά, αλλά δεν θα βγαίναμε ποτέ από την πόλη ζωντανοί.
hama102	Μα...
haev103	Ακέραιοι εννοούσα.
hama104	Στοιχηματίζω ότι θα τα κατάφερνα, αν προσπαθούσα πολύ.
haev105	Ω, Manny. Κοίτα τον εαυτό σου.
haev106	Είσαι μια παγιδευμένη ψυχή και δεν το ξέρεις καν.
hama107	Γιατί κάποιοι πελάτες είναι άξιοι για καλύτερα ταξιδιωτικά πακέτα;
haev108	Έζησαν καλές ζωές.
hama109	Que traes! Πώς ορίζεις μια "καλή" ζωή;
haev110	Καλύτερη απ'τη δική σου και τη δική μου.
hama111	Πώς θα πάρω τα στοιχεία ενός καλού πελάτη;
haev112	Γλυκέ μου, εγώ στέλνω τα στοιχεία, αλλά δεν ξέρω ποιός τα παίρνει, και δεν κοιτάω μέσα.
haev113	Εμένα όλα ίδια μου φαίνονται.
haev114	Περίπου σαν κι εσάς.
haev115	Εγώ απλά τα ρίχνω στον σωλήνα, και ο αποστολέας κάτω στα σκαλιά τα ταξινομεί.
hama116	Λοιπόν, τι έκανες στη ζωή σου ώστε να κολλήσεις εδώ;
haev117	Το τι έκανα εκείνες τις μέρες δεν είναι δική σου δουλειά. Ξέρεις τους κανόνες.
hama118	Λοιπόν, να πηγαίνω και εγώ να βαρέσω μύγες.
haev119	Εντάξει, δώσ'τους να καταλάβουν για να μάθουν.
haev120	Manny, αν δε σε πειράζει, έχω πολύ αρχειοθέτηση να κάνω...
hama121	Σωστά. Hay te huacho.
loma017	Α, το παλιό αφεντικό του υπουργείου...
loma018	Πολύ πριν τον καιρό μου.
loma019	Ο Copal συνέχεια λέει για το πόσο σκληρό αφεντικό ήταν πάντως.
loma020	Τώρα αυτός ο τύπος...
loma021	Δεν ξέρω ποιός είναι αυτός ο τύπος.
loma022	Νομίζω ότι απλά πλήρωσε για την ανακαίνιση του προθάλαμου.
lobs001	Γκρμμμπμλ, γκρρρ...
lobs002	Εσύ και το φανταχτερό σου κοστούμι και τις τρύπες της μύτης σου ψηλά στον αέρα...
lobs003	Χώνεται τα άδεια μπουκάλια της μπύρας στον σωλήνα μηνυμάτων, πόσο κομψό είναι αυτό;
lobs004	Ε; Δεν καταλαβαίνετε εσείς εκεί πάνω ότι ο διακόπτης για τους σωλήνες είναι μια πολύπλοκη και λεπτεπίλεπτη μηχανή;
loma005	Ε...
lobs006	Πιστεύεις ότι είσαι καλύτερος από μένα;;
loma007	Όχι.
lobs008	Ωραία.
lotx023	poster
loma024	Νάτο--Το Νούμερο Εννιά...
loma025	Μια από αυτές τις μέρες θα επιβιβαστώ σ'αυτό και θα φύγω από 'δω!
lotx026	statue
loma027	Καλησπέρα.
lotx028	statue
loma029	Πώς τα πας;
lotx030	poster
loma031	Όχι ότι έχω καμιά επιλογή, αλλά αναρωτιέμαι αν θα ήμουν πιο χαρούμενος αν δούλευα σε πλοίο.
loma032	Απ'την άλλη, είμαι πολύ ανταγωνιστικός, δε θα μπορούσα να ηρεμήσω μέχρι να γίνω καπετάνιος...
lotx033	directory
loma034	Για να δούμε... που είμαι εγώ σ'αυτό... Don Copal, Domino Hurley...
loma035	Βοηθός Κατώτερων Πωλήσεων;! Το καλό που τους θέλω να μην είμαι αυτός!
lotx009	door
loma010	Αυτή είναι η πόρτα για το δωμάτιο επικοινωνιών.
lotx011	elevator
loma012	Αυτό είναι το γρήγορο ασανσέρ για πάνω.
lotx013	door
loma014	Αυτή είναι η πόρτα για το δωμάτιο πακεταρίσματος.
lotx015	door
loma016	Αυτή είναι η πόρτα για τους δρόμους του El Marrow.
gama082	Έι, Τζίνι. ’ντε βγες από το λυχνάρι.
gama083	Έι! Σέρβις!
gagl084	Ε;
gagl085	Έι! Ποιός στο--
gagl086	Ποιός ανακατεύει τα πράγματα μου;
gagl087	Ω, ε, συγγνώμη, κύριε! Δεν περίμενα...
gagl088	Οι αντιπρόσωποι πωλήσεων δεν έρχονται συνήθως μέχρι αυτό το τμήμα του γκαράζ...
gagl089	Έι! Manny!
gagl090	Κατάφερες να υπογραφεί η εντολή εργασίας ή ακόμα;
gama091	Όχι. Δεν μπορούμε να το κάνουμε χωρίς αυτήν;
gagl092	Σου είπα! Μπορεί να χάσω τη δουλειά μου!
gagl093	Manny, αν χάσω τη δουλειά μου...
gama094	Έλα, έλα τώρα. Μην ανησυχείς. Γύρνα στη δουλειά σου.
gama095	Θα καταφέρω να υπογραφεί η εντολή εργασίας.
gama096	Κάπως.
gatx098	work order
gama099	Πρέπει να καταφέρω να υπογραφεί αυτή η εντολή εργασίας.
gama100	Αυτό δε θα βοηθήσει να υπογραφεί.
gatx101	sign
gama102	Αυτή η ταμπέλα λέει, "ΜΑΓΑΖΙ ΚΛΕΙΣΤΟ ΜΕΧΡΙ ΝΕΩΤΕΡΑΣ ΕΙΔΟΠΟΙΗΣΗΣ."
gama103	Αναρωτιέμαι τι συνέβη στον Glottis...
gama104	Η πινακίδα λέει, "Είμαι στην αυλή με τα παλιοσίδερα. Ουουου!"
gatx105	water fountain
gama106	Ποιός φοβάται λίγο σκουριασμένο καφέ νερό;
gatx107	tool cabinet
gama108	Είναι ένα έπιπλο για εργαλεία.
gama109	Είναι κλειδωμένο.
gatx110	tool cabinet
gatx111	window
gama112	Δεν είναι κανείς εκεί μέσα.
gama113	Κάτι μεγάλο συμβαίνει εκεί μέσα.
gama114	Όχι όταν υπάρχει πόρτα.
gatx115	crash trigger
gatx116	Glottis' eyes
gatx123	kiosk
gama124	Υπάρχουν φώτα για "Πλύσιμο," "Ξέβγαλμα," "Κέρωμα..."
gama125	...και "Γη των Ζωντανών" ανάλογα με τον προορισμό σου.
gama126	Οι οδηγοί-δαιμόνια το χειρίζονται με κάποιον τρόπο, και η εταιρία δε λέει σε εμάς τους πωλητές πως.
gama127	Πρέπει να μας κρατήσουν εδώ με κάποιον τρόπο.
gatx128	Land of the Living
gama129	Μέσα από αυτό βρίσκεσαι στη Λεωφόρο των Αβάπτιστων Ψυχών, και έπειτα στη Γη των Ζωντανών.
gama130	Δεν μπορώ να περάσω με τα πόδια.
gama131	Κάποιοι προσπάθησαν, αλλά δεν επέστρεψαν ποτέ.
gatx132	cars
gama133	Χα!
gama134	Συνηθισμένα αμάξια.
gama135	Να τι χρειάζομαι--τροχούς!
gama136	Ωωω, ΜΠΟΡΕΙ να χτυπήσω αν προσπαθήσω να κατεβάσω ένα μόνος μου...
gatx117	door
gatx118	elevator
gama119	Δεν πρόκειται να πάω επάνω!
gama120	Θέλω να νομίζουν ότι είμαι ακόμα κλειδωμένος στο συνεργείο!
gatx121	big door
gama122	Αυτή η πόρτα βγάζει σε ένα δρομάκι.
gama001	Έι, είσαι οδηγός;
gagl002	Εγώ;
gagl003	Χα!
gagl004	Όχι.
gagl005	Όχι όχι όχι.
gagl006	Δεν τα καβαλάω. Μόνο τα συντηρώ.
gama007	Είμαι ο Calavera. Ο Manny Calavera.
gagl008	Εμένα με λένε Glottis.
gagl009	Δε δέχομαι πολλούς επισκέπτες- Έι!  Έχω ένα μήνυμα για κάποιον Κύριο Calavera...
gagl010	Ε...
gagl011	...ο οδηγός σου είπε...
gagl012	...ότι ο Κύριος Hurley είπε...
gagl013	...ότι μπορούσε να πάρει ρεπό για την υπόλοιπη μέρα.
gama014	Ο Domino έστειλε τον οδηγό μου σπίτι;
gagl015	Ναι, πολύ ευγενικό δεν ήτανε;
gama016	Απ'ότι φαίνεται χρειάζομαι καινούργιο οδηγό.
gagl017	Ω!
gagl018	Εγώ...
gagl019	Ε... Εγώ!
gagl020	Ε... Εγώ, θα συμφωνούσα μ'αυτό.
gagl021	Ναι χρειάζεσαι.
gama022	Θέλεις να αντικαταστήσεις τον οδηγό μου;
gagl023	ΕΓΩ;
gagl024	Ω, ω, όχι. Συγγνώμη.
gagl025	Δε γίνεται.
gagl026	Κανόνες.
gama027	Έλα τώρα, Glottis. Σε χρειάζομαι για οδηγό μου.
gagl028	Σου είπα...
gagl029	Όχι, δεν μπορώ. Είμαι... Είμαι...
gagl030	Είμαι πολύ μεγάλος.
gama031	Δεν είσαι πολύ μεγάλος! Είσαι μια χαρά!
gagl032	Όχι, μου το είπαν ξανά και ξανά.
gagl033	Είμαι πολύ μεγάλος για να οδηγήσω.
gama034	Δεν είσαι πολύ μεγάλος. Απλά έχεις πρόβλημα αυτοεκτίμησης.
gagl035	Έχω τι;
gama036	Επανέλαβε μετά από μένα:
gama037	Δεν είμαι χοντρός.
gama038	Είμαι αδύνατος.
gama039	Οι γυναίκες με βρίσκουν γοητευτικό...
gagl040	Έι, δεν είπα ότι ήμουν χοντρός για τις γυναίκες, μόνο για τ'αυτοκίνητα.
gagl041	Στις γυναίκες αρέσω μια χαρά (χε, χε,χε).
gama042	Δεν είσαι πολύ μεγάλος. Τα αυτοκίνητα είναι πολύ μικρά.
gagl043	Ναι! Αυτά τα αναθεματισμένα στενά αυτοκίνητα--
gagl044	Έι! Αυτό μου δίνει μια ιδέα!
gagl045	Θα μπορούσα να τροποποιήσω λίγο τ'αυτοκίνητό σου--με μια γρήγορη οξυγονοκόλληση να βγάλω τους αρμούς, κατάλαβες;
gagl046	Α, αλλά δεν επιτρέπεται να τροποποιήσω τ' αυτοκίνητα χωρίς εντολή εργασίας από τους από πάνω.
gagl047	Μπορεί να χάσω τη δουλειά μου.
gama048	Εντολή εργασίας, ε;
gagl049	Ναι ναι ναι!
gagl050	Δεν μπορώ να κάψω τίποτα μεγαλύτερο από ένα τσιγάρο χωρίς ένα απ' αυτά υπογεγραμμένο από το ίδιο το αφεντικό.
gama051	Έι, αυτή είναι η δουλειά μου--να πείθω ανθρώπους να υπογράψουν.
gama052	Επιστρέφω αμέσως.
gagl053	Ναι, πολύ μικρά! Δεν είμαι εγώ πολύ μεγάλος!
gagl054	Απλά όλα εδώ γύρω είναι πολύ μικρά!
gama055	Βράσε τους κανόνες! Έλα μαζί μου!
gagl056	Όχι, δε θέλω να μπλεχτώ πάλι σε φασαρίες...
gagl057	Είπαν άλλη μια φορά και θα φύγω!
gama058	Τότε, μήπως ξέρεις κάποιον που μπορεί να οδηγήσει;
gagl059	Όλοι έχουν φύγει.
gagl060	Είναι η Μέρα των Νεκρών, ξέρεις.
gama061	Ναι, ναι. Ξέρω.
gama062	Εντάξει, τα λέμε αργότερα, Δειλέ.
gagl063	Ναι. Εντάξει.
gama064	Glottis... Glottis... Είναι Γερμανικό όνομα;
gagl065	Ω, όχι. Η καταγωγή μου δεν είναι από κάποιου Γήινου έθνους την πατρική γη.
gagl066	Είμαι ένα πνεύμα της φύσης που κλήθηκα στη ζωή από την ίδια τη Γη των Νεκρών και μου δόθηκε ένα σκοπός, μια ικανότητα, μια επιθυμία:
gagl067	να ΟΔΗΓΩ.
gagl068	Ή, να αλλάζω λάδια και να ρυθμίζω ιμάντες συγχρονισμού, όταν δεν υπάρχουν δουλειές για οδηγούς.
gama069	Ωραία καλύβα.
gagl070	Ναι, αναρωτιέμαι πόσο ωραία θα σου φαινόταν αν ήσουν ΠΑΓΙΔΕΥΜΕΝΟΣ σ'αυτήν όλη τη μέρα, σαν εμένα.
gama071	Αν μισείς τη δουλειά σου, γιατί δεν παραιτείσαι;
gagl072	Δεν είναι απλά μια δουλειά. Είναι αυτό για το οποίο δημιουργήθηκα να κάνω.
gagl073	Αν απομακρυνθώ περισσότερο από αυτοκίνητα, θα αρρωστήσω και θα πεθάνω.
gagl074	Είναι σαν να μην μπορώ να είμαι ευτυχισμένος εκτός και αν εισπνέω πηχτούς, μαύρους, αηδιαστικούς καπνούς...
gama075	Χμμ. Δεν μπορώ να το φανταστώ.
gama076	Γρήγορα! Φωτιά! Πρέπει να οδηγήσουμε τ'αυτοκίνητα σε ασφαλές μέρος!
gagl077	Όχι. Ούτε καν μια φωτιά δε θα με βγάλει από 'δω μέσα.
gagl078	Έχω κολλήσει εδώ. Για πάντα.
gama079	’ρα είμαστε δύο.
gama080	Σωστά, πίσω στην καλύβα, φίλε.
gagl081	Τα λέμε αργότερα, κοκαλιάρη.
gsco078	Μπες εκεί μέσα και μην κουνηθείς μέχρι τα παιδιά από τα κεντρικά να μας πούνε τι θέλουν να κάνουμε με σένα
gsco079	Κάποιος θα πληρώσει για θα πληρώσει για ό,τι έγινε, Calavera, και αυτός δε θα είμαι εγώ!
gsma080	Έι, τι έκαναν με τον Glottis;
gstx081	dispenser
gsma082	Απ'ότι φαίνεται, βγάζει κάτι που λέγεται "Fil-a-Dent."
gsma083	Δεν πάει πουθενά.
gsma084	Βγήκε σαν απαλό παγωτό, αλλά κρίνοντας απ'τη μυρωδιά, νομίζω ότι χρησιμεύει για το σώμα.
gsma085	Είναι ήδη γεμάτο απ'αυτό το πράγμα.
gsma086	Fil-a-Dent: καλό για τις χαραμάδες, καταπληκτικό για τη μασέλα!
gstx087	window
gsma088	Δε βλέπω κανέναν εκεί έξω.
gsma089	Δεν ανοίγει.
gsma090	Θα μπορούσα να το σπάσω με το δρεπάνι μου, αλλά ο θόρυβος θα τους φέρει όλους εδώ σε ένα δευτερόλεπτο.
gsma091	Έχω ήδη δραπετεύσει.
gstx092	door
gsma001	Έι, είναι κανείς εκεί έξω;
gsma002	Έι, φρουρέ!
gssa003	Λοιπόν, Manuel...
gssa004	Σκέφτηκες τι έκανες;
gssa005	Πώς είναι ο μικρός μου Κόμης του Monte Cristo;
gsma006	Ποιός είναι εκεί έξω;
gssa007	Είμαι εσύ.
gssa008	Ή καλύτερα, ήμουν εσύ, πριν χρόνια.
gsma009	Ναι, αλλά εγώ είμαι εγώ τώρα, γι'αυτό άντε χάσου.
gsma011	Όχι, αλήθεια. Ποιός ΕΙΣΑΙ;
gssa012	Είμαι και εγώ ένας φυλακισμένος, φίλε μου.
gsma013	Ίσως, αλλά το κελί σου είναι πολύ μεγαλύτερο απ'το δικό μου, "συγκρατούμενε".
gsma014	Σπασμένος. Πάμε για βόλτες.
gsma015	Έι, γιατί δεν ανοίγεις την πόρτα ώστε να το συζητήσουμε το θέμα;
gssa016	Η μόνη διέξοδος, Manuel, είναι να σε ξαναπροσλάβουν.
gssa017	Αν είσαι ακόμη πραγματικά αφοσιωμένος σ'αυτή την εταιρία, διακύρηξε το δυνατά.
gssa018	Η διεύθυνση μπορεί να το ακούσει και να σε ξαναχώσει στο μαντρί της.
gssa019	Αν είσαι ακόμη αφοσιωμένος--
gsma020	Ξάπλωσε, κάνε τούμπες και γάβγισε το μίσος σου για την εταιρία, ξέρω.
gsma021	Πόσες φορές πρέπει πω ότι λυπάμαι;
gssa022	Δε με ενδιαφέρει αν λυπάσαι. Θέλω να μάθω αν είσαι αφοσιωμένος.
gssa023	Είσαι έτοιμος ν'αποκαλύψεις τα πιστεύω σου;
gsma024	Βγάλε με από δω μέσα!
gsma025	Συγγνώμη μικρέ μου σκελετέ. Και τώρα άσε με να βγω!
gsma026	Είμαι απασχολημένος με το σχεδιασμό της ηρωικής μου απόδρασης.
gsma027	Σκέφτομαι να αποδράσω και να εκδικηθώ. Αυτό είναι.
gsma028	Τι θα μου κάνουν;
gssa029	Δε θέλω να σ'ανησυχήσω, Πράκτορα Calavera...
gssa030	Αλλά έχεις δει ποτέ άνθρωπο ΑΝΘΙΣΜΕΝΟ;
gsma031	Πες μου ξανά την ιστορία με τα ανθίσματα!
gssa032	Δεν είναι παραμύθι για να κοιμίζεις τα παιδάκια, Manuel...
gsma033	Κοίτα, πρέπει να μου ανοίξεις την πόρτα, amigo.
gsma034	’ντε χάσου, θύμα. Δε μου χρειάζονται οι φλυαρίες τώρα.
gssa035	Χμμμ... Βλέπω ότι είσαι ακόμα πολύ θυμωμένος, φίλε μου.
gssa036	Θα ξανάρθω όταν θα έχεις ηρεμήσει λιγάκι.
gsma037	Ναι, ε λοιπόν έχω κάτι που μπορούν να βάλουν στο μαντρί τους...
gssa038	Πρέπει να προσπαθήσεις περισσότερο Manuel.
gssa039	Η πίστη ενός ανθρώπου καθορίζει το πεπρωμένο του.
gsma040	Είμαι ακόμη αφοσιωμένος στο ΥπΘαν, είτε το πιστεύεις είτε όχι.
gssa041	Χμμμ...Καλό παιδί.
gssa042	Εσύ απλά κράτα αυτό το χαρακτήρα, και είμαι σίγουρος ότι αρκετά σύντομα θα βγεις από δω μέσα.
gsma043	Το ΥπΘαν κάνει βρώμικο παιχνίδι, και σκοπεύω να τ'αποδείξω.
gssa044	Θα το έκανες αυτό;
gssa045	Αυτό μπορεί να προκαλέσει προβλήματα σ'αυτήν την αντιπροσωπεία...
gssa046	Σ'άκουσα και νωρίτερα να λες απειλές νευριασμένος.
gssa047	Η ερώτηση είναι, θα ήθελες στ'αλήθεια να βλάψεις το ΥπΘαν;
gsma048	Κοίτα, έκανα ότι έκανα. Και τι έγινε;
gsma049	Δε λέω τίποτα μέχρι να έρθει εδώ ο δικηγόρος μου.
gssa050	Δικηγόρος;
gssa051	Χα χα χα!
gssa052	Ω, Manny, αυτό είναι πολύ πνευματώδες.
gsma053	Όχι, δεν πηγαίνω πια σ'αυτά τα πάρτυ.
gssa054	Τότε δεν ξέρεις...
gsma055	Ναι, νομίζω ότι ήταν την εβδομάδα των προσλήψεων.
gssa056	Τότε ξέρεις...
gsma057	Ναι, είδα έναν μποξέρ να βγάζει ένα κουνουπίδι στ'αυτί κάποτε...
gsma058	Τι εννοείς, "ανθισμένο;"
gssa059	...δεν υπάρχει τίποτα πιο φρικτό από τη μόλυνση του "ανθιστή".
gssa060	Το θανατηφόρο του κεντρί εξαπλώνει μια πράσινη ασθένεια σε κάθε πόρο του σώματος σου...
gssa061	...αφήνοντας σε με ρίζες αντί για φλέβες και γρασίδι αντί για μαλλιά...
gssa062	...που σταθερά αναπτύσσονται και γίνονται όλο και πιο παχιά μέχρι που συνθλίβεσαι και λουλουδιάζεις...
gssa063	...σε ένα φρικιαστικό μπουκέτο από πόνο και ευωδιαστή δυστυχία...
gssa064	...να ουρλιάζεις μέχρι το στόμα σου να γεμίσει με πέταλα και τα ρουθούνια σου να πετάξουν αγκάθινα κλαδιά...
gssa065	...και οι βολβοί να βλαστήσουν μέσα στα μάτια σου...
gssa066	...ώσπου το μόνο που απομένει τελικά, είναι λίγα αγριολούλουδα στο έδαφος, και ένα σμήνος από πεταλούδες.
gsma067	Τέλειωσες;
gssa068	Ναι.
gsma069	Όχι, δεν το έχω δει ποτέ αυτό.
gsma070	Λατρεύω αυτή την ιστορία.
gsma071	Θα ανατινάξω αυτό το μέρος!
gssa072	Νεαρέ, είσαι εχθρός του ΥπΘαν!
gssa073	Καλωσήρθες στην ομάδα!
gsma074	Βασικά, όχι. Αλλά είμαι θυμωμένος.
gssa075	Μάλιστα. Λοιπόν, διατήρησε την πίστη σου.
gsma076	Το μόνο που θέλω είναι να με ξαναπάρουν στη δουλειά!
altx001	rope
alma002	Μοιάζει με σκοινί...
alma003	...αλλά στην πραγματικότητα είναι ένα μάτσο φθηνές γραβάτες δεμένες μεταξύ τους.
altx004	eye
alma005	Αναρωτιέμαι αν η Eva με κοιτάζει τώρα.
alma006	Δε μ'αρέσει ο τρόπος που με κοιτάει αυτό το μάτι.
alma007	Πράκτορας Calavera, και δύο καλεσμένοι.
alma008	Πράκτορας Calavera εδώ.
alma009	Παρακαλώ;
alma010	Για κοίτα εδώ.
alma011	Έχω κάτι εδώ που μπορεί να σ'ενδιαφέρει.
altx012	door
altx013	trap door
altx014	big door
alma015	Είναι πελώρια. Δε μπορώ να την ανοίξω.
alma016	Αυτή είναι η πόρτα για το γκαράζ.
sttx001	door
sttx002	door
sttx003	festival
stma005	Είναι το φεστιβάλ για τη Μέρα των Νεκρών.
stma006	Στην πραγματικότητα μοιάζει περισσότερο με την αργία ενός ζωντανού, αλλά όλοι κάνουμε την πάπια.
sttx004	door
letx001	hanging rope
lema002	Αυτό θα πει άσχημες γραβάτες.
lema003	Δεν το πιστεύω ότι σκαρφάλωσα αυτό το πράγμα.
letx004	loose end of rope
lema005	Είναι η ελεύθερη άκρη του σκοινιού από γραβάτες.
lema006	Είναι πολύ μακρύ, παρ'όλα αυτά...
letx007	grappling hook
lema008	Αναρωτιέμαι αν έτσι ήθελε να το χρησιμοποιήσει και ο Domino.
letx009	rope to ledge
lema010	Πρέπει να είσαι τρελός για να σκαρφαλώσεις σ'αυτό.
letx011	rope to ledge
lema012	’ι άι άι. Είναι ακόμα πιο τρομακτικό προς το κάτω.
letx013	ladder to roof
lema014	Αυτή σκάλα πάει στην οροφή.
letx015	window
lema016	Ο Domino είναι μέσα.
lema017	Α χα. Δεν υπάρχει κανείς στο γραφείο του Domino.
lema018	Ο Domino κλειδώνει το παράθυρο του.
lema019	Φοβάται τα περιστέρια, πιθανότατα.
lema020	Όχι όσο είναι εκεί ο Domino!
letx021	trigger
lema022	Χμμμ... Το γραφείο του Dom είναι άδειο.
lema023	Αποκλείεται. Αν πάω παραπέρα, ο Dom θα με δει και θα καλέσει τον ψυχίατρο του γραφείου να με μεταπείσει.
letx024	window
lema025	Έχουν τραβήξει τις κουρτίνες--ο Dom και ο Don πρέπει να είναι ακόμη εκεί.
lema027	Οι γρίλιες είναι κλειστές--ο Don πρέπει να κοιμάται εκεί μέσα.
lema026	Το Αφεντικό πήγε για ψάρεμα απ'ότι φαίνεται.
cotx001	Copal
cotx002	computer
coma003	Απ'ότι φαίνεται ο Don ρύθμισε τον υπολογιστή του να απαντάει αυτόματα στις κλήσεις ενδοεπικοινωνίας...
coma004	Για ν'αλλάξουμε την αυτόματη απάντηση...
coco005	Όχι τώρα, Eva!
coco006	Να περιμένει! Έχω μια πολύ σημαντική σύσκεψη!
coco007	Δεν είπα να μην με διακόψεις καθόλου σήμερα;
